Timestamp (ms),Wall Time,Test Master Time,Sequence Time,FPD-1,FPD-2,FPD-3,OPD-1,OPD-2,OPD-3,AP-1,PC-1,PC-2,VBAT,VCOMP,ICOMP,TC-1,TC-COMP
11769434,18:11:01.30,0,0,Main,-3.271529,502.795883,0.000000,0.934401,1395.226390,0.000000,100.614329,0.092240,1.410068,25.225560,1.886108,0.733258,33.928774,44.941329
11769470,18:11:01.30,0,0,Main,-4.863542,501.004791,0.000000,-0.480282,1397.709978,0.000000,100.937192,0.115314,1.087740,25.217018,1.878478,0.729808,33.931590,44.941329
11769471,18:11:01.30,0,0,Main,-4.863542,501.004791,0.000000,-0.480282,1397.709978,0.000000,100.937192,0.115314,1.087740,25.217018,1.878478,0.729808,34.192725,44.941329
11769472,18:11:01.30,0,0,Main,-4.863542,501.004791,0.000000,-0.480282,1397.709978,0.000000,100.937192,0.115314,1.087740,25.217018,1.878478,0.729808,34.192725,44.941329
11769476,18:11:01.30,0,0,Main,-3.817362,502.244778,0.000000,0.321372,1395.858576,0.000000,100.383712,-0.123120,0.993400,25.235383,1.881186,0.730958,34.192725,44.941329
11769480,18:11:01.30,0,0,Main,-1.361113,503.117361,0.000000,0.651465,1393.871706,0.000000,99.461247,-0.053897,0.883337,25.246914,1.882662,0.731418,34.192725,44.941329
11769505,18:11:01.30,0,0,Main,-2.407293,502.428479,0.000000,0.698621,1395.858576,0.000000,99.737987,0.153771,1.441514,25.228122,1.881924,0.733105,34.192725,44.941329
11769530,18:11:01.30,0,0,Main,-4.818056,499.810729,0.000000,1.830367,1397.845447,0.000000,101.859657,0.107623,1.111325,25.219581,1.876755,0.730038,34.192725,44.941329
11769532,18:11:01.30,0,0,Main,-4.818056,499.810729,0.000000,1.830367,1397.845447,0.000000,101.859657,0.107623,1.111325,25.219581,1.876755,0.730038,34.192725,44.941329
11769533,18:11:01.30,0,0,Main,-4.818056,499.810729,0.000000,1.830367,1397.845447,0.000000,101.859657,0.107623,1.111325,25.219581,1.876755,0.730038,34.192725,44.941329
