Timestamp (ms),Wall Time,Test Master Time,Sequence Time,FPD-1,FPD-2,FPD-3,OPD-1,OPD-2,OPD-3,AP-1,PC-1,PC-2,VBAT
57200152,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.262200,2.003641,18.909234,0.041989,25.359474
57200172,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.262200,2.003641,18.909234,0.041989,25.359474
57200182,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.262200,2.003641,18.909234,0.041989,25.359474
57200192,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.262200,2.003641,18.909234,0.041989,25.359474
57200202,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.262200,2.003641,18.909234,0.041989,25.359474
57200232,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.262200,2.003641,18.909234,0.041989,25.359474
57200292,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.263037,0.676713,18.823225,0.041912,25.358202
57200432,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.260831,1.729104,18.858392,0.040619,25.365829
57200442,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.260831,1.729104,18.858392,0.040619,25.365829
57200452,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.260831,1.729104,18.858392,0.040619,25.365829
57200462,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.260831,1.729104,18.858392,0.040619,25.365829
57200492,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.260831,1.729104,18.858392,0.040619,25.365829
57201172,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.265471,1.180030,18.850341,0.041989,25.362863
57201192,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.265471,1.180030,18.850341,0.041989,25.362863
57201202,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.265471,1.180030,18.850341,0.041989,25.362863
57201242,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.265471,1.180030,18.850341,0.041989,25.362863
57201292,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.268818,1.866372,18.777467,0.043662,25.356931
57201452,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.269350,0.493689,18.771112,0.041532,25.361168
57201462,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.269350,0.493689,18.771112,0.041532,25.361168
57201472,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.269350,0.493689,18.771112,0.041532,25.361168
57201492,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.269350,0.493689,18.771112,0.041532,25.361168
57201512,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.269350,0.493689,18.771112,0.041532,25.361168
57202292,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.265167,1.683348,18.853731,0.041076,25.355660
57202302,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.265167,1.683348,18.853731,0.041076,25.355660
57202342,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.266156,0.951250,18.807125,0.042673,25.359474
57202372,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.266156,0.951250,18.807125,0.042673,25.359474
57202512,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.264330,1.088518,18.793143,0.042217,25.357779
57202532,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.264330,1.088518,18.793143,0.042217,25.357779
57202552,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.264330,1.088518,18.793143,0.042217,25.357779
57202563,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.265015,1.729104,18.810938,0.037957,25.359474
57202592,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.265015,1.729104,18.810938,0.037957,25.359474
57203322,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.261135,1.363055,18.857968,0.038946,25.357355
57203352,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.265015,1.591835,18.872797,0.042521,25.356931
57203362,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.265015,1.591835,18.872797,0.042521,25.356931
57203382,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.265015,1.591835,18.872797,0.042521,25.356931
57203422,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.265015,1.591835,18.872797,0.042521,25.356931
57203432,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.265015,1.591835,18.872797,0.042521,25.356931
57203462,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.262048,1.363055,18.834241,0.042065,25.359050
57203472,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.262048,1.363055,18.834241,0.042065,25.359050
57203492,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.262048,1.363055,18.834241,0.042065,25.359050
57203532,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.262048,1.363055,18.834241,0.042065,25.359050
57204512,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.265167,-0.101141,18.828310,0.042901,25.359050
57204523,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.265167,-0.101141,18.828310,0.042901,25.359050
57204532,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.265167,-0.101141,18.828310,0.042901,25.359050
57204552,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.265167,-0.101141,18.828310,0.042901,25.359050
57204562,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.265167,-0.101141,18.828310,0.042901,25.359050
57204603,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.265167,-0.101141,18.828310,0.042901,25.359050
57205352,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.263189,2.369689,18.793567,0.041152,25.357779
57205502,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.266308,2.003641,18.921097,0.040848,25.354813
57205512,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.264558,2.095153,18.847799,0.042217,25.357355
57205522,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.264558,2.095153,18.847799,0.042217,25.357355
57205552,01:25:46.30,0,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.264558,2.095153,18.847799,0.042217,25.357355
